timestamp,PortXmitData_mlx5_0_o186i221,PortRcvData_mlx5_0_o186i221,PortXmitPkts_mlx5_0_o186i221,PortRcvPkts_mlx5_0_o186i221,PortXmitWait_mlx5_0_o186i221,PortXmitData_mlx5_1_o186i221,PortRcvData_mlx5_1_o186i221,PortXmitPkts_mlx5_1_o186i221,PortRcvPkts_mlx5_1_o186i221,PortXmitWait_mlx5_1_o186i221,PortXmitData_mlx5_2_o186i221,PortRcvData_mlx5_2_o186i221,PortXmitPkts_mlx5_2_o186i221,PortRcvPkts_mlx5_2_o186i221,PortXmitWait_mlx5_2_o186i221,PortXmitData_mlx5_4_o186i221,PortRcvData_mlx5_4_o186i221,PortXmitPkts_mlx5_4_o186i221,PortRcvPkts_mlx5_4_o186i221,PortXmitWait_mlx5_4_o186i221,PortRcvPkts_sum_o186i221,PortRcvData_sum_o186i221,PortXmitData_sum_o186i221,PortXmitWait_sum_o186i221,PortXmitPkts_sum_o186i221,PortXmitData_mlx5_0_o186i222,PortRcvData_mlx5_0_o186i222,PortXmitPkts_mlx5_0_o186i222,PortRcvPkts_mlx5_0_o186i222,PortXmitWait_mlx5_0_o186i222,PortXmitData_mlx5_1_o186i222,PortRcvData_mlx5_1_o186i222,PortXmitPkts_mlx5_1_o186i222,PortRcvPkts_mlx5_1_o186i222,PortXmitWait_mlx5_1_o186i222,PortXmitData_mlx5_2_o186i222,PortRcvData_mlx5_2_o186i222,PortXmitPkts_mlx5_2_o186i222,PortRcvPkts_mlx5_2_o186i222,PortXmitWait_mlx5_2_o186i222,PortXmitData_mlx5_4_o186i222,PortRcvData_mlx5_4_o186i222,PortXmitPkts_mlx5_4_o186i222,PortRcvPkts_mlx5_4_o186i222,PortXmitWait_mlx5_4_o186i222,PortRcvPkts_sum_o186i222,PortRcvData_sum_o186i222,PortXmitData_sum_o186i222,PortXmitWait_sum_o186i222,PortXmitPkts_sum_o186i222,PortRcvData_sum_aggregate,PortXmitPkts_sum_aggregate,PortXmitWait_sum_aggregate,PortRcvPkts_sum_aggregate,PortXmitData_sum_aggregate
37,1948783902,510967,1907490,25609,682232743,1717361530,449899,1680958,22490,563550758,1649848446,430765,1614889,21479,647448605,1745928908,457034,1708941,22768,651978809,92346,1848665,7061922786,2545210915,6912278,852351708,227587,834258,11787,444902209,893498298,235935,874561,11901,414146383,980752727,259569,959964,13124,417941050,983157956,259131,962304,12981,500636871,49793,982222,3709760689,1777626513,3631087,2830887,10543365,4322837428,142139,10771683475
38,2043581508,539619,2000273,27434,807186583,1725800792,455201,1689205,23055,737802974,1683036127,444239,1647343,22497,733790805,1817906761,472972,1779385,23563,677746877,96549,1912031,7270325188,2956527239,7116206,831254269,221769,813628,11420,517726924,915330658,239525,895910,12021,461846618,995915642,266319,974774,13816,539279414,1000036300,267522,978808,13722,622373010,50979,995135,3742536869,2141225966,3663120,2907166,10779326,5097753205,147528,11012862057
39,1932363949,506374,1891455,25118,669064428,1772216623,463933,1734669,23225,669720823,1535920598,406232,1503380,20585,658847994,1827472185,478808,1788759,23926,670057378,92854,1855347,7067973355,2667690623,6918263,754286289,201676,738340,10164,481140340,873645766,230668,855088,11547,466038686,955064172,252383,934796,12844,564082118,1016914628,267523,995316,13627,525349565,48182,952250,3599910855,2036610709,3523540,2807597,10441803,4704301332,141036,10667884210
40,1897379893,496520,1857234,24609,648745236,1810192077,474733,1771841,23665,655660005,1624530895,423541,1590096,21184,611780615,1775879987,466556,1738204,23439,653900148,92897,1861350,7107982852,2570086004,6957375,856798387,227455,838631,11588,498635662,896647202,236232,877620,12035,431693212,1000035907,265972,978817,13556,504701088,970499258,257572,949927,12985,541474658,50164,987231,3723980754,1976504620,3644995,2848581,10602370,4546590624,143061,10831963606
41,1918625855,509115,1877989,25929,883407403,1783714946,471232,1745928,23772,759618845,1626737904,433596,1592281,22170,835275300,1860826312,489628,1821382,24630,799189906,96501,1903571,7189905017,3277491454,7037580,784060063,214399,767429,11379,531022844,925944849,246829,906278,12657,492743286,987376879,264467,966387,13890,572503545,1008475208,268292,987068,13796,550109682,51722,993987,3705856999,2146379357,3627162,2897558,10664742,5423870811,148223,10895762016
42,1968145590,513375,1926458,25547,698942648,1806067981,471424,1767799,23509,633703666,1554161590,407836,1521186,20652,693975334,1798834363,472805,1760715,23837,679916199,93545,1865440,7127209524,2706537847,6976158,810156860,214998,792978,10961,433073762,881681210,231704,862992,11611,437224709,955887323,255437,935606,13042,515933061,995816870,263919,974693,13350,516260570,48964,966058,3643542263,1902492102,3566269,2831498,10542427,4609029949,142509,10770751787
43,1814844077,475821,1776439,23734,679574636,1696294374,446664,1660369,22146,617852170,1578116076,413085,1544675,20448,584921073,1587384920,418968,1553760,21167,595137582,87495,1754538,6676639447,2477485461,6535243,816236976,215836,798970,10757,442429007,933154185,245293,913389,12204,435685545,1022532727,268137,1000827,13567,484406699,983158440,261508,962307,13285,526165677,49813,990774,3755082328,1888686928,3675493,2745312,10210736,4366172389,137308,10431721775
44,1427901425,380356,1397660,19046,571806494,1469033766,391108,1437920,19737,530709067,1358699189,358157,1329907,18088,583028909,1182284306,312437,1157232,15546,533657107,72417,1442058,5437918686,2219201577,5322719,964115686,253656,943693,12737,435553084,1049516376,277205,1027267,14110,449333367,1232196290,324207,1206081,16187,499732939,1217555247,321505,1191732,16232,516100771,59266,1176573,4463383599,1900720161,4368773,2618631,9691492,4119921738,131683,9901302285
45,911426013,240751,892127,12263,456070563,935036645,244637,915197,12190,386744774,1198355439,317597,1172946,16145,523000239,962807971,256121,942393,13074,476962303,53672,1059106,4007626068,1842777879,3922663,1154724595,303241,1130278,15074,467493730,1369018366,357528,1339960,17820,490685503,1471593996,385679,1440340,19305,504108149,1478146684,390499,1446785,19787,534689572,71986,1436947,5473483641,1996976954,5357363,2496053,9280026,3839754833,125658,9481109709
46,902987222,237287,883876,11815,355367671,869231658,231494,850829,11684,349422320,1236198486,324110,1210010,16186,472083737,936747522,247751,916909,12577,438278882,52262,1040642,3945164888,1615152610,3861624,1173899693,306753,1149005,15284,479351510,1375910947,360076,1346737,17913,512588425,1459967651,380869,1429005,18855,502838597,1514824069,399160,1482721,20005,514321709,72057,1446858,5524602360,2009100241,5407468,2487500,9269092,3624252851,124319,9469767248
47,922451158,243254,902932,12077,344579452,907206319,237840,887984,11786,324023898,1050140931,273470,1027874,13492,388078926,884378266,231142,865640,11398,340383287,48753,985706,3764176674,1397065563,3684430,1135062605,297739,1111026,14828,450500109,1305761039,338922,1278090,16760,435524248,1489504574,386509,1457908,19055,487495882,1461551239,383966,1430591,19120,458570200,69763,1407136,5391879457,1832090439,5277615,2392842,8962045,3229156002,118516,9156056131
48,608797714,161746,595904,8090,235106386,717326176,188841,702134,9431,283731010,852351640,222236,834295,10910,306315268,708886590,184822,693867,9119,293286939,37550,757645,2887362120,1118439603,2826200,1202575230,314170,1177088,15594,362622528,1372932996,357190,1343801,17631,413212659,1552502796,404909,1519599,20104,394860630,1533374069,398977,1500842,19744,389874922,73073,1475246,5661385091,1560570739,5541330,2232891,8367530,2679010342,110623,8548747211
49,506608045,133454,495918,6528,150764583,784839545,205746,768230,10083,253755855,683569839,180203,669100,8811,255235732,658253409,172679,644325,8451,216130887,33873,692082,2633270838,875887057,2577573,1341821126,350397,1313397,17237,383974704,1426211322,371115,1395971,18281,408159427,1637189532,425131,1602479,20958,445366298,1668404083,434662,1633052,21409,432439699,77885,1581305,6073626063,1669940128,5944899,2273387,8522472,2545827185,111758,8706896901
50,125797413,35365,123185,1640,60184957,438835843,117824,429570,5717,162261366,459932953,122021,450198,5950,182857276,451494130,119931,441952,5767,167120217,19074,395141,1476060339,572423816,1444905,1683605765,438461,1647964,21583,393001497,1780654492,461628,1742911,22688,411879472,1890363274,492157,1850315,24225,434979347,1862680646,483346,1823183,23734,442531148,92230,1875592,7217304177,1682391464,7064373,2270733,8509278,2254815280,111304,8693364516
